twitchlink,emote_count,badge_count,chat_count,users_count,new_users_count
https://www.twitch.tv/dawood_97,757,1694,1753,1901,125
https://www.twitch.tv/pinqeu,0,409,395,395,19
https://www.twitch.tv/eliasn97,212,3123,1691,1749,192
https://www.twitch.tv/kendinemuzisyen,171,3273,2020,2142,385
https://www.twitch.tv/moauba,22,1008,1915,1924,230
https://www.twitch.tv/sonii,110,1136,1139,1174,62
https://www.twitch.tv/laty1337,0,71,114,114,6
https://www.twitch.tv/ahlaundoh,0,831,714,727,25
