twitchlink,emote_count,badge_count,chat_count,users_count,new_users_count
https://www.twitch.tv/aa9skillz,187,1718,2195,2248,358
https://www.twitch.tv/pieface23,1894,2990,1982,2102,188
https://www.twitch.tv/zwebackhd,1507,2531,2066,2207,291
https://www.twitch.tv/harryhesketh,261,1271,1883,1913,137
https://www.twitch.tv/angryginge13,186,3098,1979,2022,81
https://www.twitch.tv/maximum,35,1707,1732,1732,136
https://www.twitch.tv/cdewx,81,865,650,700,28
https://www.twitch.tv/bean,21,643,358,383,20
https://www.twitch.tv/laty1337,130,916,608,636,24
https://www.twitch.tv/penta,746,3016,2026,2156,433
https://www.twitch.tv/spaceboy,765,2127,1653,1791,70
https://www.twitch.tv/nakkida,1798,1463,997,1180,53
https://www.twitch.tv/uberhaxornova,905,2533,1977,2200,229
https://www.twitch.tv/aydan,302,2483,1702,1730,83
